City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Mayo,US,2022-01-23 22:26:59,38.8876,-76.5119,38.25,66,100,5.99
163,Maple Creek,CA,2022-01-23 22:27:00,49.9168,-109.4848,45.01,56,100,8.05
164,Hamilton,US,2022-01-23 22:23:44,39.1834,-84.5333,30.02,73,100,4.0
165,Huainan,CN,2022-01-23 22:27:00,32.6264,116.9969,33.44,97,100,9.44
166,Sassandra,CI,2022-01-23 22:27:01,4.95,-6.0833,77.97,87,0,6.71
167,Guerrero Negro,MX,2022-01-23 22:25:25,27.9769,-114.0611,66.92,37,73,6.38
168,Bridlington,GB,2022-01-23 22:27:01,54.0831,-0.1919,39.88,87,86,12.97
169,Yeppoon,AU,2022-01-23 22:27:02,-23.1333,150.7333,78.58,67,96,8.46
170,Bethel,US,2022-01-23 22:27:02,41.3712,-73.414,34.16,61,100,1.01
171,Hirara,JP,2022-01-23 22:27:03,24.8,125.2833,68.27,94,75,6.91
172,Lompoc,US,2022-01-23 22:27:03,34.6391,-120.4579,76.69,53,0,9.22
173,Carutapera,BR,2022-01-23 22:27:04,-1.195,-46.02,76.77,92,77,6.62
174,Upernavik,GL,2022-01-23 22:27:04,72.7868,-56.1549,-13.36,62,2,5.66
175,Te Anau,NZ,2022-01-23 22:27:04,-45.4167,167.7167,54.82,70,76,2.1
176,Guaruja,BR,2022-01-23 22:27:05,-23.9931,-46.2564,85.15,26,75,9.78
177,Innisfail,AU,2022-01-23 22:27:05,-17.5333,146.0333,78.78,78,100,0.25
178,Grindavik,IS,2022-01-23 22:27:06,63.8424,-22.4338,30.67,80,75,9.22
179,Flin Flon,CA,2022-01-23 22:27:06,54.7682,-101.865,-0.56,60,20,5.75
180,Port-Gentil,GA,2022-01-23 22:28:07,-0.7193,8.7815,79.75,79,44,12.44
181,Hammerfest,NO,2022-01-23 22:28:07,70.6634,23.6821,41.45,70,40,16.11
182,Atuona,PF,2022-01-23 22:28:08,-9.8,-139.0333,78.66,76,18,18.68
183,Nanortalik,GL,2022-01-23 22:28:08,60.1432,-45.2371,22.62,77,100,6.6
184,Aksarka,RU,2022-01-23 22:28:08,66.5606,67.7975,0.86,97,63,10.89
185,La Ronge,CA,2022-01-23 22:28:09,55.1001,-105.2842,-0.15,60,20,4.61
186,Portland,US,2022-01-23 22:26:28,45.5234,-122.6762,57.36,66,31,4.0
187,Conceicao Da Barra,BR,2022-01-23 22:28:10,-18.5933,-39.7322,75.24,83,31,4.12
188,Isselburg,DE,2022-01-23 22:28:10,51.8333,6.4667,42.85,87,5,3.02
189,Bara,NG,2022-01-23 22:28:10,10.3744,10.7288,69.13,24,1,9.46
190,Oranjemund,NA,2022-01-23 22:28:11,-28.55,16.4333,73.69,69,78,11.1
191,Sola,VU,2022-01-23 22:28:11,-13.8833,167.55,86.67,74,75,9.22
192,Nome,US,2022-01-23 22:28:12,64.5011,-165.4064,2.16,85,0,0.0
193,Banda Aceh,ID,2022-01-23 22:25:03,5.5577,95.3222,76.3,85,85,4.0
194,Oksfjord,NO,2022-01-23 22:28:12,70.2396,22.3479,44.67,86,100,22.28
195,Crixas,BR,2022-01-23 22:28:13,-14.5489,-49.9692,81.28,67,45,2.91
196,Hanzhong,CN,2022-01-23 22:28:13,33.0728,107.0303,38.23,92,100,1.63
197,Farafangana,MG,2022-01-23 22:28:13,-22.8167,47.8333,76.41,91,63,14.81
198,Orsha,BY,2022-01-23 22:28:14,54.5153,30.4053,-1.7,100,93,3.22
